rank,player,age,teamName,gamesPlayed,gamesStarted,wins,losses,plusMinus,goalsAgainst,shotsAgainst,saves,savePercentage,goalsAgainstAverage,shutouts,minutes,shortHandedAssists,qualityStarts,qualityStartsPercentage,badStarts,goalsAllowedPercentage,savedAboveAverage,goals,assists,points,penaltyMinutes
"33"0,"Cam Newton"1,"22"2,"PIT"3,"11"4,""5,"3"6,"4"7,"0"8,"35"9,""10,""11,""12,"3.94"13,"0"14,"533"15,""16,""17,""18,""19,""20,"0"21,"1"22,"1"23,"2"
"34"0,"Jacques Plante"1,"44"2,"TOT"3,"40"4,""5,"15"6,"15"7,"6"8,"103"9,""10,""11,""12,"2.81"13,"3"14,"2197"15,""16,""17,""18,""19,""20,"0"21,"2"22,"2"23,"2"
"35"0,"Michel Plasse"1,"24"2,"MTL"3,"17"4,""5,"11"6,"2"7,"3"8,"40"9,""10,""11,""12,"2.58"13,"0"14,"932"15,""16,""17,""18,""19,""20,"0"21,"0"22,"0"23,"4"
"36"0,"Jim Rutherford"1,"23"2,"PIT"3,"49"4,""5,"20"6,"22"7,"5"8,"129"9,""10,""11,""12,"2.91"13,"3"14,"2660"15,""16,""17,""18,""19,""20,"0"21,"0"22,"0"23,"0"
"37"0,"Billy Smith"1,"22"2,"NYI"3,"37"4,""5,"7"6,"24"7,"3"8,"147"9,""10,""11,""12,"4.16"13,"0"14,"2122"15,""16,""17,""18,""19,""20,"0"21,"0"22,"0"23,"42"
"38"0,"Gary Smith"1,"28"2,"CBH"3,"23"4,""5,"10"6,"10"7,"2"8,"79"9,""10,""11,""12,"3.54"13,"0"14,"1340"15,""16,""17,""18,""19,""20,"0"21,"0"22,"0"23,"5"
"39"0,"Wayne Stephenson"1,"28"2,"STL"3,"45"4,""5,"18"6,"15"7,"7"8,"128"9,""10,""11,""12,"3.03"13,"1"14,"2535"15,""16,""17,""18,""19,""20,"0"21,"0"22,"0"23,"0"
"40"0,"Bobby Taylor"1,"28"2,"PHI"3,"23"4,""5,"8"6,"8"7,"4"8,"78"9,""10,""11,""12,"4.09"13,"0"14,"1144"15,""16,""17,""18,""19,""20,"0"21,"1"22,"1"23,"0"
"41"0,"Wayne Thomas"1,"25"2,"MTL"3,"10"4,""5,"8"6,"1"7,"0"8,"23"9,""10,""11,""12,"2.37"13,"1"14,"583"15,""16,""17,""18,""19,""20,"0"21,"1"22,"1"23,"2"
"42"0,"Rogie Vachon"1,"27"2,"LAK"3,"53"4,""5,"22"6,"20"7,"10"8,"148"9,""10,""11,""12,"2.85"13,"4"14,"3120"15,""16,""17,""18,""19,""20,"0"21,"1"22,"1"23,"2"
"43"0,"Gilles Villemure"1,"32"2,"NYR"3,"34"4,""5,"20"6,"12"7,"2"8,"78"9,""10,""11,""12,"2.29"13,"3"14,"2040"15,""16,""17,""18,""19,""20,"0"21,"0"22,"0"23,"2"
"44"0,"Dunc Wilson"1,"24"2,"VAN"3,"43"4,""5,"13"6,"21"7,"5"8,"159"9,""10,""11,""12,"3.94"13,"1"14,"2423"15,""16,""17,""18,""19,""20,"0"21,"1"22,"1"23,"6"
"45"0,"Gump Worsley"1,"43"2,"MNS"3,"12"4,""5,"6"6,"2"7,"3"8,"30"9,""10,""11,""12,"2.88"13,"0"14,"624"15,""16,""17,""18,""19,""20,"0"21,"1"22,"1"23,"22"
